EmployeeKey,EmployeeID,EmployeeName,TeamKey,PrimarySkillKey,Location,EmploymentType,HireDate,ExitDate,StandardLaborRate,UtilizationTarget,EmploymentStatus,IsActiveAsOfDate
1,EMP-0001,Avery Archer,1,1,"Charlotte, NC",Employee,2022-12-13,,78.63,0.86,Active,1
2,EMP-0002,Jamie Morgan,1,1,"Charlotte, NC",Employee,2023-04-19,,94.6,0.86,Active,1
3,EMP-0003,Reese Chen,1,1,"Remote, US",Employee,2021-01-22,,94.21,0.84,Active,1
4,EMP-0004,Cameron Santos,1,1,"Remote, US",Employee,2022-09-19,,99.37,0.86,Active,1
5,EMP-0005,Jordan Gupta,1,1,"Phoenix, AZ",Employee,2022-11-23,,84.25,0.83,Active,1
6,EMP-0006,Riley Archer,1,1,"Remote, US",Contractor,2024-10-05,,144.04,0.89,Active,1
7,EMP-0007,Casey Morgan,1,1,"Charlotte, NC",Employee,2024-03-06,,100.88,0.84,Active,1
8,EMP-0008,Kai Chen,1,1,"Atlanta, GA",Contractor,2021-05-16,,120.58,0.86,Active,1
9,EMP-0009,Robin Santos,1,1,"Atlanta, GA",Employee,2024-07-05,,91.64,0.88,Active,1
10,EMP-0010,Devon Gupta,1,1,"Remote, US",Employee,2022-12-09,,101.78,0.84,Active,1
11,EMP-0011,Logan Archer,1,1,"Charlotte, NC",Contractor,2024-06-17,,113.04,0.86,Active,1
12,EMP-0012,Rowan Morgan,1,1,"Charlotte, NC",Employee,2025-02-04,,87.03,0.83,Active,1
13,EMP-0013,Drew Chen,1,1,"Phoenix, AZ",Employee,2022-09-17,,101.97,0.86,Active,1
14,EMP-0014,Morgan Santos,1,1,"Charlotte, NC",Employee,2025-05-02,,100.78,0.83,Active,1
15,EMP-0015,Taylor Gupta,1,1,"Phoenix, AZ",Employee,2022-04-13,,93.93,0.86,Active,1
16,EMP-0016,Emerson Archer,1,1,"Charlotte, NC",Employee,2021-09-24,,99.73,0.84,Active,1
17,EMP-0017,Parker Morgan,1,1,"Atlanta, GA",Employee,2025-05-12,,89.78,0.86,Active,1
18,EMP-0018,Alex Chen,1,1,"Atlanta, GA",Employee,2021-04-08,,95.1,0.85,Active,1
19,EMP-0019,Hayden Santos,1,1,"Remote, US",Employee,2025-04-24,,81.4,0.86,Active,1
20,EMP-0020,Quinn Gupta,1,1,"Atlanta, GA",Employee,2021-08-09,,98.84,0.86,Active,1
21,EMP-0021,Avery Archer,1,1,"Remote, US",Employee,2021-01-20,,90.77,0.86,Active,1
22,EMP-0022,Jamie Morgan,1,1,"Atlanta, GA",Contractor,2021-12-07,,127.53,0.85,Active,1
23,EMP-0023,Reese Chen,1,1,"Remote, US",Employee,2025-06-06,,99.5,0.85,Active,1
24,EMP-0024,Cameron Santos,1,1,"Remote, US",Contractor,2025-02-13,,118.71,0.85,Active,1
